mz	time	N1	N2	N3	N4	N5	N6	SI1	SI2	SI3	SI4	SI5	SI6
87.09191469	65.88527037	12.65442223	0	0	17.49784022	16.55113887	0	17.62614477	12.93703649	16.12414281	0	16.62614933	16.67824438
87.09192714	271.7840268	22.77104141	0	20.26038766	22.28773555	22.02773311	21.63143001	22.34796422	21.89897019	22.74935338	21.24732951	22.55313583	21.83276971
87.09374552	84.9780007	24.0368865	25.21988274	23.98833274	24.87814676	24.49237179	25.41500974	24.45115043	24.31405887	24.2170313	24.12261328	24.46480113	25.18229499
87.10006196	92.02453678	28.3577874	29.53103946	28.36963047	28.15507279	28.36597451	28.71100161	27.89227282	28.24566786	28.02087963	27.45117325	28.23271269	28.13540125
87.10296301	78.42978739	22.90405828	23.39962076	24.21394887	23.34696056	19.46947956	20.25648519	23.6204286	24.56376	22.83721768	21.13215441	23.7959761	22.4453489
87.5098485	162.2429904	24.95200433	25.98287846	25.13449922	24.61453107	23.8034037	24.90497583	22.700157	24.81468215	23.93455909	24.32439727	24.13458921	24.52249793
88.00467929	247.0076669	21.54330178	23.89763245	22.35076235	23.09513291	15.99926368	23.46410761	20.03782594	20.35931528	22.05779172	20.9180403	23.42289772	22.05275372
88.02180695	271.7838162	24.2381625	24.88066462	22.2931758	22.198726	22.94125482	23.5082901	22.77002499	23.78994654	22.31416524	22.49547653	23.37478781	23.13492388
88.03958382	270.49055	24.36764619	25.1560624	23.60571423	23.47134169	23.71150071	23.81436555	23.62847282	23.97883298	22.93090882	23.03538281	23.86851553	23.50369525
88.05807587	116.8305859	21.02862096	21.56509282	0	18.94526688	20.7448434	22.67991206	19.07586352	0	21.76118679	0	21.48879347	20.78973802
88.06337624	159.9821627	26.16224206	26.18820293	26.54698896	24.91197109	24.84338886	26.28002329	25.41704343	26.22596301	24.93844004	25.04482664	25.04355002	25.50545478
88.07595891	220.1870044	29.75283993	29.20101919	29.28810063	28.63699143	28.44528565	29.81172864	27.66207461	29.24917234	28.61643705	27.39291652	29.37438882	27.72798178
88.08406209	276.5472681	25.10003021	25.88977066	24.48716255	24.23826608	24.41146578	25.03654908	24.12322018	24.74810876	23.8798272	23.63465466	24.36755119	24.20958992
88.11232074	110.4591213	24.75505028	24.82357432	24.6685851	24.58750173	25.88777596	25.01481614	25.5237184	24.56456757	25.38584628	24.29548784	25.86736382	25.70790403
88.50937532	153.0528647	30.67414481	31.65888337	30.23945239	30.18400695	29.98552972	30.82807839	29.63233411	30.11961127	29.42757802	28.98692284	30.10506854	29.71519399
88.71948951	166.2550644	26.84369389	27.53638391	26.38108525	26.34856405	26.17279038	26.92911878	25.86101632	26.19723495	25.67001929	25.21890733	26.23395092	25.9041057
88.93230089	203.4590791	23.82233947	25.10786589	25.01767428	24.42661256	24.94482223	24.96383475	23.64723582	24.93538655	24.12211998	23.60120302	25.29745444	24.03892521
88.95270115	245.4665313	22.22372035	0	20.7626574	22.27319082	20.33719266	15.49666732	19.7542576	21.68402485	21.59766997	20.93563573	21.74084025	21.73418496
88.96869075	277.4486587	23.44261769	24.22321319	23.15288817	22.97688535	22.89210646	23.34509718	22.80230614	22.93171773	22.63908691	22.02233983	22.53264495	22.84411179
89.00315097	163.538498	26.39869237	27.51782377	25.52244484	26.36727837	26.36586833	24.78531086	26.09764246	25.87820578	25.82981117	24.45662809	26.44179828	26.05880386
89.00858317	139.1825001	28.97595292	29.9727829	28.66756702	28.73697431	28.68395563	29.19874082	28.16338754	28.53194944	28.02737404	27.47258419	28.66402705	28.4339931
89.01101617	187.3684607	26.4620946	26.44996007	26.32747686	25.49313866	25.56526777	26.30095944	25.54883675	25.04514434	25.00311853	24.50385345	25.87764502	0
89.04221873	255.8462152	22.89203573	22.99822535	21.66838549	22.86583149	20.11648973	23.72799756	0	23.03146179	22.55499088	21.96476688	22.18604442	22.3655479
89.05510987	261.4497234	24.01711986	24.91269295	23.89829539	23.8209292	23.4552263	24.27488717	23.16925012	24.09545432	22.49275807	22.85582805	23.74788716	23.04691342
89.05511067	126.9254638	25.39529856	26.41784654	24.25678242	24.54996323	25.76982617	26.86911761	24.6287657	25.19619931	25.1536271	23.90230727	25.13728404	24.61018493
89.05994332	239.956496	30.31659271	31.46265076	28.8717817	29.51015142	29.4000462	30.13573281	29.64513744	29.42360046	29.51369848	27.76611018	29.79178499	29.15584104
89.07118875	275.3648751	23.94815225	21.65907991	21.67583292	22.41026371	23.12277546	22.4772394	22.50728703	22.10050067	22.55492593	21.55367791	22.58384784	22.57626521
